text,label
很快，好吃，味道足，量大,positive
没有送水没有送水没有送水,positive
非常快，态度好。,positive
方便，快捷，味道可口，快递给力,positive
菜味道很棒！送餐很及时！,positive
今天师傅是不是手抖了，微辣格外辣！,positive
"送餐快,态度也特别好,辛苦啦谢谢",positive
超级快就送到了，这么冷的天气骑士们辛苦了。谢谢你们。麻辣香锅依然很好吃。,positive
经过上次晚了2小时，这次超级快，20分钟就送到了……,positive
最后五分钟订的，卖家特别好接单了，谢谢。,positive
量大，好吃，每次点的都够吃两次,positive
挺辣的，吃着还可以吧,positive
味道好，送餐快，分量足,positive
量足，好吃，送餐也快,positive
特别好吃，量特大，而且送餐特别快，特别特别棒,positive
口感好的很，速度快！,positive
相当好吃的香锅，分量够足，味道也没的说。,positive
好吃！速度！包装也有品质，不出家门就能吃到餐厅的味道！,positive
味道好极啦，送餐很快师傅辛苦啦,positive
量大味道好，送餐师傅都很好,positive
送餐师傅很好，味道好极啦,positive
送货速度很快，一直定这家，赞,positive
很方便，很快就送到了。棒,positive
好吃，总点，这么多够五个人吃。送的很快。,positive
"很香很美味,下次还会光顾",positive
"送餐特别快,态度也好,辛苦啦",positive
服务很不错，送到的很快，半小时不到就送来了,positive
速度很快，大雾霾天外卖骑士态度都很好，赞赞赞！,positive
味道正宗，量大内容多,positive
"送餐非常快,态度特别好,谢谢",positive
又快又好，量足，经常吃,positive
好大一盆点了7个小份量足,positive
配送人员态度好，速度快！,positive
"在这种天气里感谢送餐员的辛苦服务,谢谢啦",positive
"送餐特别快,态度好,非常感谢",positive
送的非常快，包装好！谢谢师傅！,positive
附近最好吃的麻辣香锅，不开玩笑的,positive
味道不错，份量很足，建议都点小份。红薯超好吃就是太烂了容易碎,positive
还不错，就是稍微咸了点,positive
这么晚辛苦外卖小哥了,positive
超级快就送到了，谢谢骑士很快，感谢骑士这种天气还在工作！,positive
非常好吃，味道也很香，推荐！,positive
"很好吃,速递快,下次继续选择",positive
很快，特别好,positive
太麻了，青笋有点小，米饭给的也不多，土豆片都碎了，找不到了,positive
点了太多次了，味道很香,positive
"态度很好,地址填错了还是给我跑了一趟,没有表现出不愿意的样子,为了这个快递员,我写了评论",positive
快递小哥很快就送到了！赞！水煮牛肉肉质鲜嫩，辣的恰到好处，也很入味。不错，挺好吃的！,positive
"口味,不错，干净味道好，送货员服务非常好！",positive
"送餐特别快,态度好,辛苦啦,谢谢",positive
"送餐快,送餐大哥态度好,辛苦啦",positive
"送餐很快,态度也很好,谢谢",positive
挺不错的！,positive
快递大叔人特别好。就是百度外卖现在连个优惠都那个少，真要投奔饿了么了。。。。,positive
感觉没有在店里的好吃，感谢送餐师傅我们家六楼没电梯还得爬楼梯,positive
菜场好，挺好吃的,positive
快递小哥辛苦了！下雨天的真是辛苦您了！给你点赞！,positive
相当好！送餐快，一大盒子超好吃！,positive
"送餐特别快,送餐员态度也特别好",positive
速度快，量多，很香,positive
味道很正点！餐具很好用！送餐速度快！,positive
鱼豆腐有异味儿，有点腻。,positive
非常好！第一次用百度外卖，送餐很快，快递小哥也很礼貌。菜品量足，味道不错，下次再来。,positive
味道不错！,positive
东西还可以，但是没有在店里吃的好吃,positive
锅底怎么是13？,positive
"很香,很好吃",positive
"很好,送餐员也很好",positive
菜量给的挺足的，很满意，就是墨鱼丸不太好，有股臭味，其他都很好吃。,positive
不错好吃，就是最后有点油,positive
一个小时送到的，很好吃，但是点了平菇怎么没给,positive
辣椒放太多了吧,positive
锅仔酸菜炖腔骨怎么没见酸菜啊？只有青笋和腔骨，青笋也不是酸的。,positive
很合口味。女友夸猪蹄好吃。过年期间都不容易。给快递小哥个赞。辛苦。,positive
炒饭有点儿油，不过菜还是很好的,positive
送餐很及时，菜品味道不错！,positive
饭还挺实在给个好评送餐挺快,positive
骑士服务态度很好，速度很迅速！,positive
最近一直订这家的外卖，相当不错，够味儿，快递小哥也是棒棒的！,positive
量很多，就是尖椒豆腐皮的味道差点，不是尖椒，是大海椒，一点辣味都没有呢！,positive
味道还不错，红烧肉更软点就更完美啦！,positive
"快递员很好,又快又负责",positive
味道很好，送餐速度也很快。,positive
一直在订餐还不错好评,positive
很好，送餐小哥服务不错，态度很好，准时，饭菜也不错，大冷天，赞一个,positive
挺好吃的不错送的很快,positive
美味，送餐人员态度很不错。,positive
不错啊很好吃哦！送的好快态度很好,positive
"又快又好,小哥态度很好,好评",positive
下雨天，小哥还提前送过来了，好辛苦，好评,positive
"挺好的,服务态度也挺好的",positive
配送员人很好,positive
不错，好吃，两个人没吃完，还会光顾！,positive
小炒肉真心不是湖南小炒肉，坦白讲肉炒太老了，不推荐。鸭头不错,positive
特别实在，实惠，量大，良心餐厅。味道也不错,positive
很不错，菜品物美价廉～～～,positive
空心菜份量少了点，汤不错,positive
蛮好吃的就是饭太少了,positive
今天送的真快，好评,positive
送货时间挺准的就是对路不太熟悉～还可以吧～,positive
最近迷恋金桔柠檬茶啊！,positive
服务态度不错，骑手辛苦啦~,positive
口味不错服务态度好感谢你们,positive
今天真是超级快，感觉刚下单就送到啦哈哈哈,positive
外送很快，给赞一个～,positive
非常好。送的也特别快。棒棒哒！,positive
好服务，就是习惯百度外卖的快速,positive
口感好其他的不能比我喜欢,positive
配送费越来越贵！！！！,positive
态度非常好，速度快，味道好极了!,positive
"好喝不贵,红红火火哈哈哈",positive
快递小哥辛苦,positive
快递很及时，很方便很好,positive
服务很好，下次还会订购,positive
不错，就定他们家的1!！！！！！！！,positive
送的及时，饮料很好喝哦,positive
不错啊。快递很快，奶茶也还行。,positive
很快。。布丁奶茶贼好喝,positive
超好喝，快递小哥很热情，速度很快…,positive
"挺好的,挺好喝的,不错",positive
好喝，也没有漏。，，，，,positive
骑士很好，赞一个，很礼貌，辛苦了！,positive
满意，速度也非常快。,positive
味道很棒！辛苦送餐员啦！,positive
经常定，特别好喝，快递给力。,positive
大冷天辛苦快递大哥了。,positive
超级快！奶茶一如既往的美味！,positive
送餐很快，这么冷的天气辛苦了,positive
外卖员名字跟我们家名字一样,positive
服务态度很好饮料很棒！,positive
在这样寒冷大风的天气里，等了一下午的奶茶终于到了，已经从热的变成凉的了。但仍感谢骑士的敬业精神！,positive
"大风天,不容易,非常好",positive
"7点半下单,9点送到,今天天冷可以理解,外送态度也非常好,虽然等了很久,但是还是好评吧",positive
快递师傅特别好，大冷天真不容易,positive
谢谢，非常感谢，那么等的天真是麻烦了，虽然等了会，但还是很感谢,positive
"配送员辛苦啦,服务很好",positive
"喝了好几年快乐柠檬,第一次喝曲奇奶茶,个人觉得不好喝,本人还是更喜欢茶类冰饮,给配送员赞一个,大冬天的",positive
"一直都挺满意的~,骑士也很棒~",positive
"能送这个实在太好了,外送大哥辛苦了",positive
送餐很快，这么冷的天辛苦了,positive
好喝，百度送的很快，非常感谢,positive
一如既往的味道我喜欢的口味,positive
"送货员态度很好啦！,非常感谢,辛苦了",positive
大哥很热情！不错!好评,positive
大满贯奶茶！超大杯！,positive
今天忙到忘了给我半糖，下次希望别忘。,positive
快递态度很好，大冷天的辛苦了。,positive
"速度很快,味道很好,很赞",positive
"骑士师傅人好,态度超级好",positive
服务态度好，速度快，值得表扬,positive
师傅人很好，送的超级快,positive
送的很快，师傅人也很亲和,positive
好极了！送来还是热的！,positive
非常满意！送餐很快！,positive
十万个赞！最好喝没有之一！,positive
百度骑士服务很好，全五分好评,positive
"非常好,相当棒,很快，味道好好",positive
"一直很喜欢他家的东西,味好,便宜",positive
不错不错，快递师傅也给力,positive
饮料好喝，送餐也神速。,positive
岩盐芝士绿茶每单必点,positive
一如既往的又快又好！每周都会在百度外卖买快乐柠檬家奶茶，送餐快，奶茶好喝，棒棒哒，开心～,positive
快递员速度快服务好，辛苦了！,positive
"元旦节晚上9点还在送真的让我感动,一直喜欢柠檬小子.蛋糕珍珠特别好喝,盐岩芝士加了珍珠很棒",positive
非常好非常快支持！！！,positive
百度骑士特别给力，奶茶是经典大家都爱喝。,positive
好喝好喝，超级喜欢这家的饮料，小哥送餐也很快,positive
外卖小哥很赞！送的很快养乐多好喝！,positive
再送小哥超帅！！！！,positive
超级给力的骑士！饮料好喝！,positive
"一直很好喝,这个很好喝",positive
好喝，送的很快，百度外卖我最喜欢用了！,positive
每一样的很喜欢！会继续光顾哒,positive
"非常好喝,一直喜欢,布丁好吃",positive
"送货态度非常好，提前了20多分钟，送得非常快，百度配送，靠谱！,奶茶一如既往的好喝，棒棒哒～",positive
嘿嘿把不错不错吧吧吧吧吧,positive
第一次买冰沙，口感真不错！喜欢,positive
师傅人特别好！送货超认真,positive
外送小哥态度很好，很辛苦。,positive
非常好！送货非常快！比美团和饿了吗好多了，以后就在这买了！,positive
超快就送到了，喜欢百度外卖，真心赞！,positive
"天气这么不好的情况下点外卖实在对不住外卖小哥,辛苦啦",positive
芋圆小丸子不甜～希望下次甜一点，真的没什么味道,positive
虽然慢了些。但是能理解|,positive
好好好！赞赞赞！态度好速度快！,positive
非常快～辛苦了～很好喝,positive
师傅人很好，服务很好，送得快~好评,positive
"大雾霾的,外送大哥辛苦了！天冷注意身体！",positive
就是配送大哥忘记给我拿吸管了⋯⋯其他都很棒。,positive
很速度，赞，奶茶也好喝。,positive
师傅很好，服务很热情！,positive
"派送员非常好。,速度快,态度棒棒的",positive
"建议再出款浓情可可，与岩岩的区别一下。,总体很满意啦！百度我支持你哟！雾霾天百度小哥辛苦你啦！百度公司一定要发给他们口罩哦，太不容易了！",positive
送餐员很热情，很好吃谢谢,positive
小哥态度很好，两种饮料都很好喝,positive
太赞了我家没电梯还能送这么快好感动,positive
送餐员辛苦，奶茶好喝…,positive
师傅服务很好.速度特别快.,positive
百度骑士很快就送到啦！不错,positive
热饮也有大杯就好了，中杯不够喝的,positive
隔三差五儿的就点两杯味道不错！送餐员辛苦啦！,positive
嗯，送货师傅依然很负责任呢！,positive
速度快，服务好，必须赞一个,positive
"还不错,送货很快味道也还好",positive
喜欢哦，每天都在喝，就是昨天忘了给我半糖了,positive
百度骑士最牛x！！！！！,positive
"非常好,非常快",positive
菠萝冻过甜，柠檬冰冻也不太好，但大满贯一如既往的好,positive
送餐员辛苦！奶茶味道不错！,positive
很喜欢喝他家的饮料！谢谢送餐小哥大冷天送来！,positive
"挺好的,辛苦了",positive
超级好喝，几乎老点…送餐员师傅态度很好！赞！,positive
简直神速…非常好喝。继续努力,positive
